raca,Ano_trimestre,t10,t5,t1,b10,b5,b1
Homem Preto,2014T3,11.8436004408356,10.2128054618423,7.33215573165802,13.130115678734,12.2443009381492,12.9749862971936
Mulher Branca,2014T4,23.2656523656657,24.8485046300704,22.453787767158,11.3528750283038,9.96107599910201,10.180168895265
Homem Branco,2014T4,36.0738228365362,42.0792409195319,49.5718754021102,6.06233871076936,5.11985252304874,5.06980070990822
Homem Pardo,2014T4,12.305727045452,11.0477908655476,10.1674298124246,17.4248220671015,16.727104206196,16.0075915716059
Mulher Preta,2014T4,7.6702239787089,6.48217661315668,4.18335403051762,27.6579159433559,30.5782818993587,32.7809467322687
Mulher Parda,2014T4,8.45592403034169,4.59427449454071,4.20915902548661,24.9674450643509,26.1200764750506,26.8694465061859
Homem Preto,2014T4,12.2286497432955,10.9480124771526,9.41439396230295,12.5346031861186,11.4936088972439,9.09204558476632
Mulher Branca,2015T1,23.334697400092,24.6894825264141,24.3464589133697,10.781683745556,9.67212193074796,9.03420526325936
Homem Branco,2015T1,36.182294528761,41.9484827020622,51.3730979344029,5.63140941307853,4.76229447827742,3.54938544371399
Mulher Preta,2015T1,8.03158308392244,6.5223006899234,5.18291849254509,27.8733433039192,28.6846540606483,30.8545197834792
Homem Pardo,2015T1,12.2531828097356,10.7904578669723,9.61700337895415,17.1324954767611,16.4576084961054,15.575349393351
Homem Preto,2015T1,12.4484413374463,10.4891954060533,6.93237921052798,13.0373202010795,13.6385148855445,9.78433862256687
Mulher Parda,2015T1,7.74980084004265,5.56008080857468,2.54814207020016,25.5437478596056,26.7848061486764,31.2022014936296
Mulher Preta,2015T2,7.83424369909504,6.424472295593,4.29186725454091,27.4442953179706,28.6789006607319,31.3436454549033
Homem Pardo,2015T2,12.2332206779893,10.6539355829613,9.63778672829975,18.2973782163824,17.5494653722701,15.1223772469757
Mulher Branca,2015T2,22.8285411540771,23.5908864121552,22.6933209703778,10.9325873847862,10.1873038723305,9.08828186951293
Mulher Parda,2015T2,8.76490389065431,7.57435329459609,3.55401310350794,25.6041773815093,27.4697692197305,28.575857524442
