"","gender_race","renda_media_hab","renda_media_efe","massa_hab","massa_efe","tx_desocup","pea_fac","gini_hab","gini_efe","Ano_trimestre"
"128","Homem Branco",4833.4115742789,5018.78153323013,91144583999.7781,94640141440.9393,0.0524910237862691,0.872213807960407,0.514307033744444,0.528705676877507,"2019T4"
"129","Mulher Negra",2072.54895045781,2300.61293167238,34788443122.7891,38616575064.902,0.133051450710601,0.610071202560193,0.427569272502296,0.473044628973184,"2020T1"
"130","Homem Branco",4912.99742641911,5406.19216401559,92625408458.3667,101923675901.728,0.060176376719116,0.86734158127125,0.515578636965984,0.542240753257829,"2020T1"
"131","Homem Negro",2695.97391332924,2948.20057469184,65329663830.3272,71441697375.754,0.0871829095894365,0.842198327465171,0.447154101908382,0.489425407047747,"2020T1"
"132","Mulher Branca",3589.69463654376,3973.40899935312,55532778223.4504,61468861029.5249,0.0851343209563048,0.674496966055819,0.489200806122426,0.513072066184577,"2020T1"
"133","Mulher Negra",2192.10204186271,2044.75339297332,32242592023.8872,30075310446.3495,0.14742664464347,0.544517385706769,0.430453215233683,0.492282088026514,"2020T2"
"134","Homem Negro",2751.38669749587,2537.73764298692,60102855829.9124,55435784373.5315,0.109616450232026,0.785785334582535,0.441831865435233,0.487568290297531,"2020T2"
"135","Mulher Branca",3711.00645466498,3422.71239512843,52691378276.2661,48597984332.7592,0.090071613481306,0.617731981948773,0.481949185127178,0.5187631813792,"2020T2"
"136","Homem Branco",4912.87918652496,4589.08351164533,89305388540.5098,83419492011.2049,0.0740776013521159,0.83045678828467,0.510172898420933,0.551008028836804,"2020T2"
"137","Mulher Negra",2214.3020496831,2119.89607397346,32032609571.2169,30666910721.9882,0.165897771157894,0.551193387691637,0.445025501742748,0.47817658819713,"2020T3"
"138","Homem Negro",2714.52238507545,2593.4936612797,60289133074.9181,57601103359.2941,0.11750432812008,0.803375382241101,0.444911989555294,0.480486501272935,"2020T3"
"139","Mulher Branca",3842.01661121342,3664.79229430403,52874721735.6996,50435719672.5555,0.110599494677214,0.607939092543488,0.497661698066167,0.521785351656035,"2020T3"
